index,요양기관명,종별코드명,시군구코드명,동,주소,우편번호,x좌표,y좌표
1217,100플란트치과의원,치과의원,대전대덕구,법동,대전광역시 대덕구 동춘당로 175 4층 (법동),34406,127.4320191,36.36743
1218,365디지털치과의원,치과의원,대전서구,둔산동,대전광역시 서구 대덕대로 189,35230,127.3772812,36.3502396
1219,365앞선치과의원,치과의원,대전유성구,관평동,대전광역시 유성구 테크노1로 12-28 메종드세이 2층 212~223호 (관평동),34016,127.3872606,36.4293094
1220,365연세치과의원,치과의원,대전유성구,원신흥동,대전광역시 유성구 동서대로 685 3층 (원신흥동),34195,127.339213,36.3325864
1221,LIM`s코스모치과의원,치과의원,대전유성구,도룡동,대전광역시 유성구 대덕대로 582 옥토빌딩 3층 301호 (도룡동),34121,127.37898,36.3849308
1222,O.K.Line치과의원,치과의원,대전유성구,전민동,대전광역시 유성구 엑스포로 488 (전민동),34049,127.4056962,36.4000099
1223,USC서울치과의원,치과의원,대전중구,태평동,대전광역시 중구 동서대로 1218 3층 302호 (태평동),34892,127.3952896,36.3255391
1224,가양치과의원,치과의원,대전동구,가양동,대전광역시 동구 우암로 250 6층 (가양동),34595,127.4439709,36.3442951
1225,가양탑치과의원,치과의원,대전동구,가양동,대전광역시 동구 동대전로 272 타임빌딩 5층 (가양동),34508,127.4462655,36.3454323
1226,가지런이치과교정과치과의원,치과의원,대전서구,둔산동,"대전광역시 서구 대덕대로 194 4층 401호 (둔산동, 백마빌딩)",35234,127.3782047,36.3501606
1227,가지런이치과의원,치과의원,대전유성구,관평동,대전광역시 유성구 관평2로 52 3층 (관평동),34019,127.3880903,36.4221385
1228,가톨릭치과의원,치과의원,대전서구,용문동,대전광역시 서구 도산로 351 3층 (용문동),35301,127.390352,36.3364138
1229,갈마서울치과의원,치과의원,대전서구,갈마동,"대전광역시 서구 신갈마로 95 4층 (갈마동, 갈마아파트상가)",35282,127.3668803,36.3433155
1230,강석만치과의원,치과의원,대전동구,소제동,대전광역시 동구 계족로 255 1층 (소제동),34603,127.4388968,36.335553
1231,강인규치과의원,치과의원,대전대덕구,신탄진동,대전광역시 대덕구 신탄진로 812 (신탄진동),34311,127.4293152,36.4499254
1232,강인호치과의원,치과의원,대전서구,괴정동,대전광역시 서구 괴정로 107 3층 (괴정동),35298,127.385149,36.3380737
1233,강치과의원,치과의원,대전유성구,지족동,대전광역시 유성구 지족로 365 402호 (지족동),34071,127.3167916,36.3868027
1234,강치과의원,치과의원,대전동구,정동,대전광역시 동구 대전로 834 (정동),34626,127.4317622,36.3339317
1235,개구장이치과의원,치과의원,대전서구,둔산동,대전광역시 서구 둔산로 52 5층 (둔산동),35234,127.379713,36.3510389
1236,갤러리치과의원,치과의원,대전중구,태평동,대전광역시 중구 동서대로 1220 2층 (태평동),34892,127.395526,36.3256162
1237,건강치과의원,치과의원,대전서구,탄방동,대전광역시 서구 계룡로615번길 7 1층 (탄방동),35264,127.3913346,36.3404779
1238,건강한치과의원,치과의원,대전서구,관저동,대전광역시 서구 구봉로 121 402호 (관저동),35382,127.3363187,36.2967339
1239,경로치과의원,치과의원,대전동구,판암동,"대전광역시 동구 옥천로 178 (판암동,3층)",34676,127.4600945,36.3170396
1240,경성치과의원,치과의원,대전서구,괴정동,대전광역시 서구 도솔로 314 4층 (괴정동),35294,127.3826095,36.3361978
1241,고려치과의원,치과의원,대전중구,옥계동,대전광역시 중구 대종로 49 (옥계동),35076,127.4552657,36.2976206
1242,고려치과의원,치과의원,대전동구,성남동,대전광역시 동구 우암로 172 4층 (성남동),34593,127.4366337,36.340955
1243,고운턱치과의원,치과의원,대전서구,둔산동,대전광역시 서구 둔산로31번길 13 6층 (둔산동),35229,127.3773,36.3523008
1244,관저벧엘치과의원,치과의원,대전서구,관저동,대전광역시 서구 관저동로 66 2층 (관저동),35381,127.3409925,36.2981071
1245,관저키즈치과의원,치과의원,대전서구,관저동,대전광역시 서구 구봉로 139,35382,127.3385674,36.2967984
1246,교촌플란트치과의원,치과의원,대전유성구,교촌동,대전광역시 유성구 진잠로149번길 1 (교촌동),34225,127.3178815,36.3036937
1247,구본석치과의원,치과의원,대전동구,가양동,대전광역시 동구 동대전로 290 2층 (가양동),34534,127.4452494,36.3468097
1248,굿닥터치과의원,치과의원,대전서구,갈마동,대전광역시 서구 갈마로 44 2층 (갈마동),35277,127.4309506,36.3691448
1249,굿모닝서울치과의원,치과의원,대전서구,탄방동,대전광역시 서구 계룡로 605 501호 (탄방동),35264,127.3905607,36.3409344
1250,굿모닝치과의원,치과의원,대전서구,관저동,"대전광역시 서구 관저로 171 (관저동, 사이버타운 301호)",35379,127.341038,36.2993389
1251,굿초이스치과의원,치과의원,대전유성구,지족동,대전광역시 유성구 지족로 283 301호 (지족동),34070,127.3080885,36.3877422
1252,권병하치과의원,치과의원,대전서구,월평동,"대전광역시 서구 청사로 5 304호 (월평동, 하나로아파트상가)",35210,127.3648967,36.3609364
1253,권치과의원,치과의원,대전중구,용두동,대전광역시 중구 중앙로 15 (용두동),34870,127.4140377,36.3229637
1254,그린치과의원,치과의원,대전중구,은행동,대전광역시 중구 중앙로 154 7층 (은행동),34921,127.4266695,36.3286952
1255,글꽃치과의원,치과의원,대전중구,문화동,"대전광역시 중구 계백로1716번길 26 301호 (문화동, 미성프라자)",34956,127.4102366,36.3204936
1256,금강부부치과의원,치과의원,대전유성구,봉명동,"대전광역시 유성구 계룡로 55 (봉명동, 407,408호)",34169,127.3369319,36.3559277
1257,금강치과의원,치과의원,대전중구,오류동,"대전광역시 중구 계룡로 852 302호 (오류동, 삼성아파트 삼성쇼핑센타)",34907,127.4073512,36.324253
1258,금미연치과의원,치과의원,대전서구,월평동,"대전광역시 서구 청사서로 65 212호 (월평동, 한아름@상가)",35212,127.3755669,36.3636693
1259,금성치과의원,치과의원,대전유성구,장대동,대전광역시 유성구 유성대로 772 (장대동),34171,127.3362767,36.3609648
1260,기태석치과의원,치과의원,대전중구,유천동,"대전광역시 중구 계백로 1619 305호 (유천동, 벽산프라자)",34899,127.3997468,36.319306
